id,price,neighbourhood_cleansed,property_type,room_type,bedrooms,bathrooms,accommodates,latitude,longitude,review_scores_rating,availability_365,reviews_per_month,minimum_nights,maximum_nights,price_range
826289478858479742,200.0,Nob Hill,Entire rental unit,Entire home/apt,1,1,3,37.791598585919296,-122.41022866191534,4.75,268,1.26,30,365,150-199
839109880343709030,335.0,Outer Richmond,Entire home,Entire home/apt,3,2,6,37.7755266,-122.5055263,4.92,8,1.16,2,28,300-349
43547939,47.0,Noe Valley,Private room in home,Private room,1,3,2,37.75191,-122.42818,4.75,365,1.26,365,1125,0-49
888523182641999453,319.0,Outer Richmond,Entire home,Entire home/apt,2,1,4,37.77616,-122.50075,5.0,5,1.03,2,365,300-349
973201392493263256,62.0,Ocean View,Private room in home,Private room,1,1,2,37.71993897246048,-122.44936739284394,5.0,94,0.3,30,365,50-99
879219526723165829,116.0,Marina,Private room in bed and breakfast,Private room,1,1,2,37.7989366,-122.4455016,4.14,180,0.69,1,365,100-149
621694376334515341,378.0,North Beach,Entire condo,Entire home/apt,1,1,2,37.79817,-122.40611,4.93,32,2.16,2,28,350-399
17794868,79.0,Downtown/Civic Center,Private room in rental unit,Private room,1,1,2,37.78661,-122.40911,4.35,77,0.51,1,21,50-99
394575,149.0,Bernal Heights,Entire rental unit,Entire home/apt,0,1,4,37.74131,-122.41179,4.84,289,3.77,6,365,100-149
30676362,65.0,Lakeshore,Private room in home,Private room,1,1,2,37.73126,-122.49078,4.31,63,0.25,2,1125,50-99
784012154374817479,233.0,Downtown/Civic Center,Entire condo,Entire home/apt,1,1,4,37.788051291859546,-122.41232779759656,4.75,365,1.26,1,365,200-249
784010838925018045,233.0,Downtown/Civic Center,Entire condo,Entire home/apt,1,1,4,37.78784677104672,-122.41323004285024,4.75,365,1.26,1,365,200-249
1089536635895146341,150.0,Western Addition,Room in hotel,Private room,1,1,2,37.78741158113166,-122.42209045398376,4.75,351,1.26,2,360,100-149
615340629980502540,201.0,South of Market,Entire serviced apartment,Entire home/apt,1,1,2,37.7761,-122.41441,4.75,358,1.26,30,365,200-249
906455731788004785,109.0,Parkside,Entire home,Entire home/apt,1,1,4,37.73698,-122.49446,5.0,364,0.17,30,365,100-149
1004006617949784307,77.0,Outer Mission,Private room in home,Private room,1,1,1,37.732421312724405,-122.44854648384572,4.75,75,1.26,30,30,50-99
45637368,186.0,Western Addition,Entire home,Entire home/apt,1,1,2,37.77178,-122.43491,5.0,279,0.05,30,1125,150-199
834321487452708415,64.0,South of Market,Room in hotel,Private room,1,1,2,37.781309752484496,-122.40685935017724,3.31,354,1.07,2,25,50-99
23312390,160.05,Downtown/Civic Center,Room in boutique hotel,Hotel room,1,1,2,37.78675,-122.40905,4.3,138,0.32,1,21,150-199
39093552,138.0,Downtown/Civic Center,Entire rental unit,Entire home/apt,0,1,2,37.78753,-122.421312,4.75,137,1.26,31,1125,100-149
29906225,160.05,Outer Sunset,Entire rental unit,Entire home/apt,3,1,5,37.76269,-122.48454,4.75,0,1.26,31,1125,150-199
824651324753845108,388.0,West of Twin Peaks,Entire home,Entire home/apt,2,2,4,37.7423297,-122.4509038,5.0,337,0.69,5,30,350-399
33970015,105.0,South of Market,Room in boutique hotel,Hotel room,1,1,2,37.77949,-122.41133,4.0,305,0.09,1,365,100-149
1026592516817979197,250.0,Downtown/Civic Center,Room in hotel,Hotel room,1,1,2,37.78419,-122.40944,5.0,317,0.66,1,1125,200-249
1102597458188400794,150.0,Downtown/Civic Center,Room in hotel,Private room,1,1,2,37.78728252251676,-122.42070324930351,4.75,365,1.26,2,365,100-149
39523262,132.0,Downtown/Civic Center,Room in boutique hotel,Private room,1,1,2,37.78604,-122.41096,3.2,328,0.15,1,28,100-149
1072784340725659781,350.0,South of Market,Entire rental unit,Entire home/apt,2,2,6,37.77978339181108,-122.39000731599616,4.75,269,1.26,30,365,300-349
1104376089654245090,140.0,Nob Hill,Entire rental unit,Entire home/apt,3,1,3,37.79604088826508,-122.41603735478604,4.75,83,1.26,31,120,100-149
650739640858789783,71.0,Bayview,Private room in home,Private room,1,2,2,37.74101,-122.39,4.95,51,1.08,3,21,50-99
